playerId,name,season,team,position,games_played,icetime,shifts,gameScore,onIce_corsiPercentage,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_shotAttempts,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,shotsBlockedByPlayer,FiveOnFourPts,FourOnFivePts,YF_Goal,YF_Assist,YF_Shot,YF_Hit,YF_Block,YF_FiveOnFour,YF_FourOnFive,YF_Pts,FiveOnFourIcetime,FourOnFiveIcetime
8482711,Stanislav Svozil,2022,CBJ,D,2.0,2414.0,50.0,-0.38,0.44,0.0,1.0,3.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1,0,0,0,0,3.0,202.0,0.0
8477021,Alexander Kerfoot,2022,TOR,C,82.0,71925.0,1609.0,38.93,0.49,12.0,10.0,133.0,44.0,221.0,10.0,10.0,4.0,54.0,45.0,38.0,102.0,52.0,23.0,2.0,2.0,6.0,46.0,3.0,2.0,30.0,44.0,53,22,18,1,1,169.0,3283.0,7639.0
8476396,Steven Fogarty,2022,MIN,C,2.0,1238.0,27.0,-0.1,0.42,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,80.0,0.0
8476858,Phillip Di Giuseppe,2022,VAN,L,30.0,26228.0,609.0,14.25,0.51,3.0,3.0,71.0,14.0,99.0,6.0,8.0,2.0,52.0,10.0,5.0,61.0,12.0,12.0,2.0,2.0,2.0,10.0,1.0,1.0,18.0,12.0,28,21,4,0,0,83.0,563.0,1564.0
8476850,Ryan Murray,2022,EDM,D,13.0,10237.0,224.0,1.75,0.48,2.0,1.0,8.0,4.0,17.0,0.0,1.0,0.0,11.0,0.0,7.0,9.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,3,4,5,0,0,18.0,0.0,582.0
8478109,Victor Olofsson,2022,BUF,L,75.0,64598.0,1369.0,40.23,0.55,8.0,4.0,161.0,48.0,273.0,28.0,8.0,3.0,16.0,24.0,22.0,148.0,41.0,20.0,9.0,10.0,9.0,15.0,10.0,0.0,84.0,24.0,64,6,6,4,0,188.0,10796.0,65.0
8478975,Mason Marchment,2022,DAL,L,68.0,64079.0,1361.0,31.5,0.53,13.0,6.0,148.0,62.0,264.0,12.0,18.0,1.0,88.0,38.0,41.0,142.0,45.0,23.0,5.0,3.0,4.0,39.0,5.0,0.0,36.0,38.0,59,35,16,2,0,186.0,6236.0,51.0
8477940,Nikolaj Ehlers,2022,WPG,L,45.0,42250.0,891.0,46.2,0.63,15.0,11.0,132.0,75.0,293.0,12.0,14.0,2.0,36.0,30.0,23.0,165.0,34.0,8.0,6.0,1.0,5.0,10.0,11.0,0.0,36.0,52.0,53,14,4,4,0,163.0,7344.0,0.0
8477409,Carter Verhaeghe,2022,FLA,C,81.0,85060.0,1717.0,93.06,0.61,14.0,17.0,275.0,78.0,470.0,42.0,24.0,6.0,29.0,35.0,56.0,230.0,85.0,38.0,17.0,12.0,13.0,31.0,12.0,0.0,126.0,62.0,110,12,12,5,0,327.0,9978.0,76.0
8475158,Ryan O'Reilly,2022,TOR,C,53.0,57046.0,1224.0,29.18,0.49,8.0,6.0,102.0,28.0,163.0,16.0,9.0,5.0,18.0,46.0,10.0,75.0,36.0,19.0,3.0,6.0,7.0,23.0,5.0,1.0,48.0,28.0,41,7,9,2,0,135.0,5685.0,4612.0
8480835,Jack Drury,2022,CAR,C,38.0,24590.0,552.0,22.41,0.66,3.0,3.0,69.0,19.0,109.0,2.0,8.0,0.0,12.0,9.0,6.0,63.0,17.0,8.0,0.0,2.0,0.0,16.0,1.0,0.0,6.0,12.0,28,5,6,0,0,57.0,1892.0,493.0
8480008,Adam Ruzicka,2022,CGY,C,44.0,30560.0,731.0,23.52,0.61,7.0,7.0,64.0,26.0,120.0,6.0,8.0,2.0,28.0,12.0,10.0,66.0,19.0,5.0,1.0,3.0,2.0,8.0,6.0,0.0,18.0,28.0,26,11,3,2,0,88.0,4333.0,33.0
8481147,Reese Johnson,2022,CHI,C,54.0,35691.0,802.0,-2.49,0.37,1.0,1.0,49.0,16.0,80.0,4.0,3.0,1.0,173.0,12.0,7.0,39.0,19.0,7.0,0.0,2.0,2.0,23.0,0.0,0.0,12.0,4.0,20,69,9,0,0,114.0,53.0,3626.0
8477993,Justin Kirkland,2022,ANA,C,7.0,3030.0,71.0,-0.32,0.45,0.0,0.0,5.0,3.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2,3,1,0,0,6.0,2.0,0.0
8480994,Damien Giroux,2022,MIN,C,1.0,837.0,19.0,-0.36,0.21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,1,0,0,0,3.0,5.0,60.0
8470595,Eric Staal,2022,FLA,C,72.0,61504.0,1403.0,29.38,0.44,9.0,6.0,106.0,36.0,183.0,14.0,14.0,2.0,27.0,33.0,31.0,86.0,42.0,14.0,4.0,5.0,5.0,45.0,0.0,0.0,42.0,30.0,42,11,18,0,0,143.0,1053.0,10479.0
8478859,Niko Mikkola,2022,NYR,D,81.0,84715.0,1976.0,-3.7,0.39,2.0,3.0,62.0,29.0,127.0,1.0,5.0,0.0,151.0,9.0,34.0,89.0,2.0,0.0,0.0,1.0,0.0,106.0,0.0,0.0,3.0,10.0,25,60,42,0,0,140.0,167.0,8169.0
8480144,David Kampf,2022,TOR,C,82.0,75313.0,1684.0,24.08,0.4,10.0,10.0,107.0,33.0,171.0,7.0,14.0,1.0,74.0,57.0,30.0,84.0,36.0,20.0,3.0,3.0,1.0,29.0,0.0,2.0,21.0,40.0,43,30,12,0,1,147.0,329.0,12307.0
8475151,Kyle Palmieri,2022,NYI,C,55.0,56425.0,1208.0,36.89,0.56,12.0,5.0,122.0,62.0,240.0,16.0,16.0,2.0,76.0,13.0,20.0,110.0,64.0,10.0,6.0,7.0,3.0,17.0,5.0,0.0,48.0,34.0,49,30,7,2,0,170.0,7294.0,807.0
8477846,Ryan Carpenter,2022,NYR,C,22.0,12113.0,287.0,1.18,0.43,1.0,1.0,17.0,8.0,30.0,1.0,1.0,0.0,35.0,6.0,12.0,17.0,7.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,3.0,4.0,7,14,4,0,0,32.0,70.0,1342.0
8474578,Erik Karlsson,2022,SJS,D,82.0,126026.0,2067.0,99.02,0.57,42.0,34.0,209.0,78.0,505.0,25.0,20.0,1.0,33.0,81.0,101.0,260.0,16.0,11.0,16.0,3.0,6.0,90.0,24.0,0.0,75.0,152.0,84,13,36,10,0,370.0,15967.0,1792.0
8479376,Victor Mete,2022,TOR,D,11.0,8628.0,210.0,1.28,0.44,0.0,2.0,7.0,1.0,16.0,0.0,0.0,0.0,3.0,2.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,3,1,4,0,0,12.0,72.0,539.0
8477369,Carson Soucy,2022,SEA,D,78.0,76246.0,1805.0,24.38,0.48,5.0,8.0,87.0,43.0,196.0,3.0,11.0,0.0,143.0,29.0,32.0,123.0,7.0,0.0,2.0,1.0,0.0,96.0,0.0,1.0,9.0,26.0,35,57,38,0,0,165.0,697.0,7739.0
8476885,Jacob Trouba,2022,NYR,D,82.0,104283.0,2042.0,43.77,0.48,12.0,10.0,199.0,53.0,362.0,8.0,21.0,1.0,218.0,32.0,49.0,234.0,11.0,7.0,5.0,1.0,2.0,196.0,4.0,1.0,24.0,44.0,80,87,78,2,0,315.0,5460.0,9510.0
8478010,Brayden Point,2022,TBL,C,82.0,96775.0,1743.0,97.35,0.6,23.0,21.0,235.0,85.0,393.0,51.0,24.0,8.0,37.0,51.0,45.0,145.0,127.0,48.0,8.0,21.0,22.0,37.0,24.0,0.0,153.0,88.0,94,15,15,10,0,375.0,17112.0,169.0
8480798,Philipp Kurashev,2022,CHI,C,70.0,73166.0,1417.0,12.1,0.45,11.0,5.0,116.0,41.0,209.0,9.0,11.0,2.0,38.0,42.0,23.0,108.0,39.0,10.0,3.0,5.0,1.0,34.0,4.0,0.0,27.0,32.0,46,15,14,2,0,136.0,8074.0,3604.0
8475722,Jason Zucker,2022,PIT,L,78.0,73270.0,1566.0,61.41,0.58,9.0,12.0,197.0,86.0,338.0,27.0,19.0,5.0,197.0,35.0,39.0,160.0,82.0,41.0,11.0,10.0,6.0,29.0,9.0,0.0,81.0,42.0,79,79,12,4,0,297.0,7411.0,13.0
8476856,Matt Dumba,2022,MIN,D,79.0,100856.0,1870.0,17.42,0.46,6.0,4.0,99.0,61.0,258.0,4.0,12.0,1.0,104.0,17.0,35.0,139.0,15.0,6.0,1.0,2.0,1.0,116.0,0.0,0.0,12.0,20.0,40,42,46,0,0,160.0,539.0,8228.0
8474567,Zach Bogosian,2022,TBL,D,46.0,41331.0,832.0,8.11,0.49,3.0,1.0,54.0,19.0,117.0,1.0,6.0,0.0,114.0,5.0,25.0,68.0,4.0,1.0,1.0,0.0,0.0,50.0,0.0,0.0,3.0,8.0,22,46,20,0,0,99.0,61.0,1648.0
8480192,Johnathan Kovacevic,2022,MTL,D,77.0,80478.0,1546.0,17.15,0.44,6.0,6.0,92.0,40.0,204.0,3.0,12.0,0.0,93.0,36.0,90.0,120.0,8.0,4.0,3.0,0.0,0.0,86.0,0.0,0.0,9.0,24.0,37,37,34,0,0,141.0,114.0,8710.0
8478870,Rudolfs Balcers,2022,TBL,L,17.0,10409.0,242.0,7.78,0.58,1.0,1.0,24.0,4.0,38.0,3.0,4.0,0.0,7.0,2.0,4.0,16.0,8.0,4.0,0.0,2.0,1.0,4.0,0.0,0.0,9.0,4.0,10,3,2,0,0,28.0,336.0,97.0
